	dest_ip	dest_port	highest layer	length	timestamp
168	10.0.2.2	55972	TCP	58	1521394922.814847
169	10.0.2.2	55966	TCP	54	1521394922.814935
170	10.0.2.2	55968	TCP	54	1521394922.81501
171	10.0.2.2	55970	TCP	54	1521394922.815064
172	172.17.0.2	8080	TCP	54	1521394922.815141
173	172.17.0.2	8080	HTTP	783	1521394922.815145
174	10.0.2.2	55972	TCP	54	1521394922.81526
175	10.0.2.2	55968	PNG	1392	1521394922.82085
176	172.17.0.2	8080	TCP	54	1521394922.821015
177	10.0.2.2	55966	PNG	3182	1521394922.822303
178	172.17.0.2	8080	TCP	54	1521394922.82259
179	172.17.0.2	8080	TCP	54	1521394922.822596
180	172.17.0.2	8080	TCP	54	1521394922.822598
181	172.17.0.2	8080	HTTP	783	1521394922.823073
182	172.17.0.2	8080	HTTP	783	1521394922.824984
183	10.0.2.2	55970	PNG	3603	1521394922.835772
184	172.17.0.2	8080	TCP	54	1521394922.836179
185	172.17.0.2	8080	TCP	54	1521394922.836186
186	172.17.0.2	8080	TCP	54	1521394922.836188
187	172.17.0.2	8080	HTTP	783	1521394922.838202
188	10.0.2.2	55952	TCP	54	1521394922.84807
189	10.0.2.2	55968	TCP	54	1521394922.863436
190	10.0.2.2	55966	TCP	54	1521394922.864318
191	10.0.2.2	55970	TCP	54	1521394922.875951
192	10.0.2.2	55972	PNG	1673	1521394922.876248
193	172.17.0.2	8080	TCP	54	1521394922.876408
194	172.17.0.2	8080	TCP	54	1521394922.876412
195	10.0.2.2	55952	PNG	4549	1521394922.877706
196	172.17.0.2	8080	TCP	54	1521394922.878051
197	172.17.0.2	8080	TCP	54	1521394922.878174
198	172.17.0.2	8080	TCP	54	1521394922.878177
199	172.17.0.2	8080	TCP	54	1521394922.878179
200	172.17.0.2	8080	HTTP	783	1521394922.878182
201	10.0.2.2	55972	TCP	54	1521394922.878224
202	172.17.0.2	8080	HTTP	783	1521394922.880002
203	10.0.2.2	55952	TCP	54	1521394922.880077
204	10.0.2.2	55952	PNG	1713	1521394922.886321
205	172.17.0.2	8080	TCP	54	1521394922.886627
206	172.17.0.2	8080	TCP	54	1521394922.886656
