	dest_port	dst	highest layer	host	length	src	timestamp
171	53	162.212.156.148	DNS	10.0.2.15	157	10.0.2.15	1521397348.756997
172	43917	10.0.2.15	DNS	162.212.156.148	202	162.212.156.148	1521397348.770891
173	53	162.212.156.148	DNS	10.0.2.15	157	10.0.2.15	1521397348.771047
174	43917	10.0.2.15	DNS	162.212.156.148	162	162.212.156.148	1521397348.805585
175	53	162.212.156.148	DNS	10.0.2.15	324	10.0.2.15	1521397348.805748
176	43917	10.0.2.15	DNS	162.212.156.148	162	162.212.156.148	1521397348.831709
177	53	162.212.156.148	DNS	10.0.2.15	231	10.0.2.15	1521397348.831778
178	43917	10.0.2.15	DNS	162.212.156.148	391	162.212.156.148	1521397348.849296
179	43917	10.0.2.15	DNS	162.212.156.148	373	162.212.156.148	1521397348.849307
180	53	162.212.156.148	DNS	10.0.2.15	88	10.0.2.15	1521397348.849439
181	43917	10.0.2.15	DNS	162.212.156.148	193	162.212.156.148	1521397348.862818
182	53	162.212.156.148	DNS	10.0.2.15	157	10.0.2.15	1521397348.863087
183	43917	10.0.2.15	DNS	162.212.156.148	162	162.212.156.148	1521397348.901016
184	53	162.212.156.148	DNS	10.0.2.15	233	10.0.2.15	1521397348.901164
185	43917	10.0.2.15	DNS	162.212.156.148	338	162.212.156.148	1521397348.918188
186	53	162.212.156.148	DNS	10.0.2.15	239	10.0.2.15	1521397348.920148
187	43917	10.0.2.15	DNS	162.212.156.148	344	162.212.156.148	1521397348.935589
188	53	162.212.156.148	DNS	10.0.2.15	324	10.0.2.15	1521397348.936029
189	43917	10.0.2.15	DNS	162.212.156.148	329	162.212.156.148	1521397348.95142
190	53	162.212.156.148	DNS	10.0.2.15	324	10.0.2.15	1521397348.951533
191	43917	10.0.2.15	DNS	162.212.156.148	329	162.212.156.148	1521397348.970483
192	53	162.212.156.148	DNS	10.0.2.15	324	10.0.2.15	1521397348.970544
193	43917	10.0.2.15	DNS	162.212.156.148	329	162.212.156.148	1521397348.991912
194	53	162.212.156.148	DNS	10.0.2.15	324	10.0.2.15	1521397348.991979
195	43917	10.0.2.15	DNS	162.212.156.148	329	162.212.156.148	1521397349.008918
196	53	162.212.156.148	DNS	10.0.2.15	324	10.0.2.15	1521397349.009004
197	43917	10.0.2.15	DNS	162.212.156.148	329	162.212.156.148	1521397349.023698
198	53	162.212.156.148	DNS	10.0.2.15	225	10.0.2.15	1521397349.023758
199	43917	10.0.2.15	DNS	162.212.156.148	230	162.212.156.148	1521397349.059817
200	53	162.212.156.148	DNS	10.0.2.15	324	10.0.2.15	1521397349.060028
201	43917	10.0.2.15	DNS	162.212.156.148	329	162.212.156.148	1521397349.075101
202	53	162.212.156.148	DNS	10.0.2.15	324	10.0.2.15	1521397349.075161
203	43917	10.0.2.15	DNS	162.212.156.148	391	162.212.156.148	1521397349.088734
204	53	162.212.156.148	DNS	10.0.2.15	324	10.0.2.15	1521397349.088806
205	43917	10.0.2.15	DNS	162.212.156.148	329	162.212.156.148	1521397349.103154
206	53	162.212.156.148	DNS	10.0.2.15	324	10.0.2.15	1521397349.103219
207	43917	10.0.2.15	DNS	162.212.156.148	329	162.212.156.148	1521397349.121036
208	53	162.212.156.148	DNS	10.0.2.15	137	10.0.2.15	1521397349.121142
209	43917	10.0.2.15	DNS	162.212.156.148	204	162.212.156.148	1521397349.148294
210	53	162.212.156.148	DNS	10.0.2.15	324	10.0.2.15	1521397349.148487
211	43917	10.0.2.15	DNS	162.212.156.148	429	162.212.156.148	1521397349.16257
212	53	162.212.156.148	DNS	10.0.2.15	324	10.0.2.15	1521397349.162793
213	43917	10.0.2.15	DNS	162.212.156.148	329	162.212.156.148	1521397349.177685
214	53	162.212.156.148	DNS	10.0.2.15	324	10.0.2.15	1521397349.177744
215	43917	10.0.2.15	DNS	162.212.156.148	329	162.212.156.148	1521397349.194071
216	53	162.212.156.148	DNS	10.0.2.15	324	10.0.2.15	1521397349.194144
217	43917	10.0.2.15	DNS	162.212.156.148	329	162.212.156.148	1521397349.20915
218	53	162.212.156.148	DNS	10.0.2.15	137	10.0.2.15	1521397349.209206
219	43917	10.0.2.15	DNS	162.212.156.148	214	162.212.156.148	1521397349.226241
220	53	162.212.156.148	DNS	10.0.2.15	220	10.0.2.15	1521397349.226406
221	43917	10.0.2.15	DNS	162.212.156.148	287	162.212.156.148	1521397349.241056
222	53	162.212.156.148	DNS	10.0.2.15	88	10.0.2.15	1521397349.246796
223	43917	10.0.2.15	DNS	162.212.156.148	194	162.212.156.148	1521397349.261469
224	53	162.212.156.148	DNS	10.0.2.15	223	10.0.2.15	1521397349.26173
225	43917	10.0.2.15	DNS	162.212.156.148	328	162.212.156.148	1521397349.277689
226	53	162.212.156.148	DNS	10.0.2.15	324	10.0.2.15	1521397349.279812
227	43917	10.0.2.15	DNS	162.212.156.148	329	162.212.156.148	1521397349.294876
228	53	162.212.156.148	DNS	10.0.2.15	324	10.0.2.15	1521397349.294947
229	43917	10.0.2.15	DNS	162.212.156.148	329	162.212.156.148	1521397349.312111
230	53	162.212.156.148	DNS	10.0.2.15	324	10.0.2.15	1521397349.312212
231	43917	10.0.2.15	DNS	162.212.156.148	329	162.212.156.148	1521397349.3263
232	53	162.212.156.148	DNS	10.0.2.15	324	10.0.2.15	1521397349.326361
233	43917	10.0.2.15	DNS	162.212.156.148	329	162.212.156.148	1521397349.340842
234	53	162.212.156.148	DNS	10.0.2.15	116	10.0.2.15	1521397349.340899
235	43917	10.0.2.15	DNS	162.212.156.148	221	162.212.156.148	1521397349.356012
236	53	162.212.156.148	DNS	10.0.2.15	221	10.0.2.15	1521397349.356327
237	43917	10.0.2.15	DNS	162.212.156.148	327	162.212.156.148	1521397349.370574
238	53	162.212.156.148	DNS	10.0.2.15	220	10.0.2.15	1521397349.37086
239	43917	10.0.2.15	DNS	162.212.156.148	325	162.212.156.148	1521397349.388091
240	53	162.212.156.148	DNS	10.0.2.15	223	10.0.2.15	1521397349.390889
241	43917	10.0.2.15	DNS	162.212.156.148	328	162.212.156.148	1521397349.406486
242	53	162.212.156.148	DNS	10.0.2.15	221	10.0.2.15	1521397349.406744
243	43917	10.0.2.15	DNS	162.212.156.148	326	162.212.156.148	1521397349.421722
244	53	162.212.156.148	DNS	10.0.2.15	242	10.0.2.15	1521397349.422706
245	43917	10.0.2.15	DNS	162.212.156.148	348	162.212.156.148	1521397349.439535
246	53	162.212.156.148	DNS	10.0.2.15	202	10.0.2.15	1521397349.440217
247	43917	10.0.2.15	DNS	162.212.156.148	307	162.212.156.148	1521397349.455734
248	53	162.212.156.148	DNS	10.0.2.15	202	10.0.2.15	1521397349.456261
249	43917	10.0.2.15	DNS	162.212.156.148	306	162.212.156.148	1521397349.472757
250	53	162.212.156.148	DNS	10.0.2.15	223	10.0.2.15	1521397349.47303
251	43917	10.0.2.15	DNS	162.212.156.148	328	162.212.156.148	1521397349.494351
252	53	162.212.156.148	DNS	10.0.2.15	223	10.0.2.15	1521397349.495333
253	43917	10.0.2.15	DNS	162.212.156.148	328	162.212.156.148	1521397349.52186
254	53	162.212.156.148	DNS	10.0.2.15	251	10.0.2.15	1521397349.522744
255	43917	10.0.2.15	DNS	162.212.156.148	356	162.212.156.148	1521397349.543693
256	53	162.212.156.148	DNS	10.0.2.15	203	10.0.2.15	1521397349.543933
257	43917	10.0.2.15	DNS	162.212.156.148	308	162.212.156.148	1521397349.55814
258	53	162.212.156.148	DNS	10.0.2.15	221	10.0.2.15	1521397349.558403
259	43917	10.0.2.15	DNS	162.212.156.148	327	162.212.156.148	1521397349.578479
260	53	162.212.156.148	DNS	10.0.2.15	203	10.0.2.15	1521397349.578745
261	43917	10.0.2.15	DNS	162.212.156.148	308	162.212.156.148	1521397349.594127
262	53	162.212.156.148	DNS	10.0.2.15	203	10.0.2.15	1521397349.594609
263	43917	10.0.2.15	DNS	162.212.156.148	309	162.212.156.148	1521397349.60863
264	53	162.212.156.148	DNS	10.0.2.15	221	10.0.2.15	1521397349.608905
265	43917	10.0.2.15	DNS	162.212.156.148	327	162.212.156.148	1521397349.624752
266	53	162.212.156.148	DNS	10.0.2.15	221	10.0.2.15	1521397349.625005
267	43917	10.0.2.15	DNS	162.212.156.148	326	162.212.156.148	1521397349.642346
268	53	162.212.156.148	DNS	10.0.2.15	220	10.0.2.15	1521397349.644289
269	43917	10.0.2.15	DNS	162.212.156.148	325	162.212.156.148	1521397349.659836
270	53	162.212.156.148	DNS	10.0.2.15	223	10.0.2.15	1521397349.660097
271	43917	10.0.2.15	DNS	162.212.156.148	328	162.212.156.148	1521397349.675497
272	53	162.212.156.148	DNS	10.0.2.15	221	10.0.2.15	1521397349.675753
273	43917	10.0.2.15	DNS	162.212.156.148	326	162.212.156.148	1521397349.690306
274	53	162.212.156.148	DNS	10.0.2.15	324	10.0.2.15	1521397349.69184
275	43917	10.0.2.15	DNS	162.212.156.148	329	162.212.156.148	1521397349.706745
276	53	162.212.156.148	DNS	10.0.2.15	180	10.0.2.15	1521397349.706805
277	43917	10.0.2.15	DNS	162.212.156.148	286	162.212.156.148	1521397349.72073
278	53	162.212.156.148	DNS	10.0.2.15	202	10.0.2.15	1521397349.720968
279	43917	10.0.2.15	DNS	162.212.156.148	307	162.212.156.148	1521397349.736062
280	53	162.212.156.148	DNS	10.0.2.15	202	10.0.2.15	1521397349.736304
281	43917	10.0.2.15	DNS	162.212.156.148	307	162.212.156.148	1521397349.750372
282	53	162.212.156.148	DNS	10.0.2.15	221	10.0.2.15	1521397349.7507
283	43917	10.0.2.15	DNS	162.212.156.148	326	162.212.156.148	1521397349.76505
284	53	162.212.156.148	DNS	10.0.2.15	221	10.0.2.15	1521397349.76529
285	43917	10.0.2.15	DNS	162.212.156.148	326	162.212.156.148	1521397349.781155
286	53	162.212.156.148	DNS	10.0.2.15	324	10.0.2.15	1521397349.783115
287	43917	10.0.2.15	DNS	162.212.156.148	329	162.212.156.148	1521397349.796609
288	53	162.212.156.148	DNS	10.0.2.15	180	10.0.2.15	1521397349.79667
289	43917	10.0.2.15	DNS	162.212.156.148	286	162.212.156.148	1521397349.810568
