,dest_ip,dest_port,highest_layer,length,response_type,src_ip,timestamp
115,162.212.156.148,53,DNS,157,0,10.0.2.15,1521397348.174025
116,10.0.2.15,43917,DNS,546,1,162.212.156.148,1521397348.187541
117,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397348.187729
118,10.0.2.15,43917,DNS,162,1,162.212.156.148,1521397348.204008
119,162.212.156.148,53,DNS,303,0,10.0.2.15,1521397348.204078
120,10.0.2.15,43917,DNS,329,1,162.212.156.148,1521397348.238939
121,162.212.156.148,53,DNS,247,0,10.0.2.15,1521397348.239095
122,10.0.2.15,43917,DNS,371,1,162.212.156.148,1521397348.254338
123,162.212.156.148,53,DNS,210,0,10.0.2.15,1521397348.254518
124,10.0.2.15,43917,DNS,629,1,162.212.156.148,1521397348.276263
125,162.212.156.148,53,DNS,168,0,10.0.2.15,1521397348.278426
126,10.0.2.15,43917,DNS,215,1,162.212.156.148,1521397348.31237
127,10.0.2.15,43917,DNS,235,1,162.212.156.148,1521397348.331515
128,162.212.156.148,53,DNS,88,0,10.0.2.15,1521397348.331614
129,162.212.156.148,53,DNS,211,0,10.0.2.15,1521397348.331819
130,10.0.2.15,43917,DNS,155,1,162.212.156.148,1521397348.346535
131,10.0.2.15,43917,DNS,324,1,162.212.156.148,1521397348.349258
132,162.212.156.148,53,DNS,88,0,10.0.2.15,1521397348.349331
133,162.212.156.148,53,DNS,233,0,10.0.2.15,1521397348.349519
134,10.0.2.15,43917,DNS,210,1,162.212.156.148,1521397348.36505
135,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397348.365295
136,10.0.2.15,43917,DNS,238,1,162.212.156.148,1521397348.37897
137,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397348.379033
138,10.0.2.15,43917,DNS,329,1,162.212.156.148,1521397348.392901
139,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397348.392968
140,10.0.2.15,43917,DNS,329,1,162.212.156.148,1521397348.408111
141,162.212.156.148,53,DNS,178,0,10.0.2.15,1521397348.408174
142,10.0.2.15,43917,DNS,986,1,162.212.156.148,1521397348.424489
143,162.212.156.148,53,DNS,88,0,10.0.2.15,1521397348.431435
144,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397348.43756
145,10.0.2.15,43917,DNS,183,1,162.212.156.148,1521397348.445981
146,10.0.2.15,43917,DNS,93,1,162.212.156.148,1521397348.454357
147,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397348.454425
148,10.0.2.15,43917,DNS,329,1,162.212.156.148,1521397348.48102
149,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397348.481083
150,10.0.2.15,43917,DNS,329,1,162.212.156.148,1521397348.500267
151,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397348.500327
152,10.0.2.15,43917,DNS,329,1,162.212.156.148,1521397348.514024
153,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397348.514079
154,10.0.2.15,43917,DNS,329,1,162.212.156.148,1521397348.527507
155,162.212.156.148,53,DNS,225,0,10.0.2.15,1521397348.527573
156,10.0.2.15,43917,DNS,329,1,162.212.156.148,1521397348.56213
157,162.212.156.148,53,DNS,263,0,10.0.2.15,1521397348.562305
158,10.0.2.15,43917,DNS,293,1,162.212.156.148,1521397348.579156
159,162.212.156.148,53,DNS,263,0,10.0.2.15,1521397348.584273
160,10.0.2.15,43917,DNS,330,1,162.212.156.148,1521397348.589322
161,162.212.156.148,53,DNS,263,0,10.0.2.15,1521397348.589485
162,10.0.2.15,43917,DNS,360,1,162.212.156.148,1521397348.598097
163,162.212.156.148,53,DNS,263,0,10.0.2.15,1521397348.603985
164,10.0.2.15,43917,DNS,338,1,162.212.156.148,1521397348.604122
165,162.212.156.148,53,DNS,293,0,10.0.2.15,1521397348.604304
166,10.0.2.15,43917,DNS,268,1,162.212.156.148,1521397348.620448
167,10.0.2.15,43917,DNS,360,1,162.212.156.148,1521397348.620458
168,162.212.156.148,53,DNS,88,0,10.0.2.15,1521397348.625642
